代码	名称	涨幅%	现价	涨跌	买价	卖价	总量	现量	涨速%	换手%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	振幅%	均价	内盘	换手Z	外盘	内外比	买量	卖量	3日涨幅%	短期形态	中期形态	长期形态	净流入	20日涨幅%	60日涨幅%	
300302	同有科技	20.00	10.92	1.82	10.92	--  	1034771	275	0.00	         28.64	9.12	10.92	9.12	9.10	  1164.12	109091.21	  4.51	软件服务	19.78	10.54	545449	         36.88	489322	  1.11	19868	0	18.05	12	8	3	  -6839万	27.13	62.50	
688766	普冉股份	20.00	186.43	31.07	186.43	--  	37211	230	0.00	         12.86	165.00	186.43	165.00	155.36	    51.31	67684.68	  4.09	半导体	13.79	181.89	19015	         14.55	18196	  1.05	70	0	19.39	13	10	11	  -1621万	27.08	18.87	
301308	江波龙	20.00	100.63	16.77	100.63	--  	151601	139	0.00	         44.62	88.80	100.63	88.80	83.86	   570.72	144237.17	  1.42	IT设备	14.11	95.14	69042	         44.62	82559	  0.84	8890	0	17.15	6	8		   1.10亿	58.88	67.89	
300582	英飞特	14.63	18.18	2.32	18.18	18.19	503780	5993	-0.04	         22.91	15.85	18.59	15.85	15.86	    21.94	88715.49	  3.22	半导体	17.28	17.61	218552	         25.87	285228	  0.77	944	1064	15.94	8	8	11	   1.24亿	24.86	43.72	
688086	*ST紫晶	12.60	2.95	0.33	2.95	2.96	163315	3321	0.00	         12.28	2.64	3.00	2.52	2.62	--  	4646.83	  1.88	IT设备	18.32	2.85	64247	         13.30	99068	  0.65	299	1036	-0.67	10	11	11	   1012万	7.27	18.96	
688626	翔宇医疗	12.30	40.71	4.46	40.71	40.73	42361	266	-0.11	          8.29	37.29	41.70	36.62	36.25	    52.58	16711.19	  5.04	医疗保健	14.01	39.45	15719	         10.06	26642	  0.59	17	13	14.94	10	8	11	   4314万	2.49	30.95	
688525	佰维存储	11.93	43.25	4.61	43.24	43.25	173569	1809	0.75	         49.90	39.60	45.25	39.60	38.64	   183.57	72916.24	  1.21	IT设备	14.62	42.01	77239	         49.90	96330	  0.80	229	256	6.98				   8038万	92.48	209.15	
688110	东芯股份	10.84	34.06	3.33	34.05	34.06	339621	1906	0.09	         13.05	32.00	35.58	32.00	30.73	    41.67	116830.71	  2.53	半导体	11.65	34.40	132400	         16.64	207221	  0.64	77	14	6.97	1	2	14	   2.60亿	20.73	29.31	
688293	奥浦迈	10.18	113.49	10.49	113.31	113.49	7945	48	0.15	          4.49	105.00	116.20	105.00	103.00	    88.30	8903.15	  2.75	生物制药	10.87	112.07	3236	          4.49	4709	  0.69	2	12	8.23	4	13		   1649万	0.86	11.43	
600975	新五丰	10.06	9.96	0.91	9.96	--  	684637	1072	0.00	         10.49	9.08	9.96	8.98	9.05	--  	65845.94	  1.21	农业综合	10.83	9.62	300326	         15.67	384311	  0.78	24536	0	10.29	8	6	1	   8067万	33.33	42.90	
